shapeISO,original_state_name,state,month,month_name,avg_rainfall_mm
MY-14,Selangor-Wilayah,Kuala Lumpur,5,May,5.39
MY-14,Selangor-Wilayah,Kuala Lumpur,6,Jun,4.98
MY-14,Selangor-Wilayah,Kuala Lumpur,7,Jul,4.33
MY-14,Selangor-Wilayah,Kuala Lumpur,8,Aug,5.38
MY-14,Selangor-Wilayah,Kuala Lumpur,9,Sep,6.17
MY-14,Selangor-Wilayah,Kuala Lumpur,10,Oct,7.92
MY-14,Selangor-Wilayah,Kuala Lumpur,11,Nov,10.6
MY-14,Selangor-Wilayah,Kuala Lumpur,12,Dec,9.48
MY-11,Terengganu,Terengganu,1,Jan,6.57
MY-11,Terengganu,Terengganu,2,Feb,3.49
MY-11,Terengganu,Terengganu,3,Mar,3.87
MY-11,Terengganu,Terengganu,4,Apr,3.71
MY-11,Terengganu,Terengganu,5,May,5.22
MY-11,Terengganu,Terengganu,6,Jun,6.48
MY-11,Terengganu,Terengganu,7,Jul,5.99
MY-11,Terengganu,Terengganu,8,Aug,6.46
MY-11,Terengganu,Terengganu,9,Sep,8.89
MY-11,Terengganu,Terengganu,10,Oct,9.52
MY-11,Terengganu,Terengganu,11,Nov,25.88
MY-11,Terengganu,Terengganu,12,Dec,20.37
