month,month_name,min_temp,avg_temp,max_temp
1,Jan,21.99,25.79,29.65
2,Feb,22.01,26.02,30.08
3,Mar,22.28,26.5,30.78
4,Apr,22.61,26.89,31.21
5,May,22.68,27.03,31.42
6,Jun,22.43,26.74,31.1
7,Jul,22.22,26.52,30.87
8,Aug,22.13,26.56,31.04
9,Sep,22.0,26.4,30.86
10,Oct,21.97,26.22,30.53
11,Nov,21.99,26.07,30.2
12,Dec,22.08,25.86,29.69
